year,weekofyear,city,total_cases
2008,18,sj,10
2008,19,sj,10
2008,20,sj,10
2008,21,sj,10
2008,22,sj,13
2008,23,sj,14
2008,24,sj,16
2008,25,sj,16
2008,26,sj,21
2008,27,sj,21
2008,28,sj,23
2008,29,sj,25
2008,30,sj,33
2008,31,sj,36
2008,32,sj,48
2008,33,sj,48
2008,34,sj,48
2008,35,sj,56
2008,36,sj,55
2008,37,sj,55
2008,38,sj,55
2008,39,sj,68
2008,40,sj,68
2008,41,sj,68
2008,42,sj,68
2008,43,sj,68
2008,44,sj,68
2008,45,sj,68
2008,46,sj,56
2008,47,sj,56
2008,48,sj,56
2008,49,sj,47
2008,50,sj,37
2008,51,sj,31
2008,52,sj,37
2009,1,sj,30
2009,2,sj,30
2009,3,sj,30
2009,4,sj,26
2009,5,sj,26
2009,6,sj,22
2009,7,sj,20
2009,8,sj,20
2009,9,sj,17
2009,10,sj,17
2009,11,sj,13
2009,12,sj,11
2009,13,sj,14
2009,14,sj,9
2009,15,sj,9
2009,16,sj,11
2009,17,sj,8
2009,18,sj,11
2009,19,sj,10
2009,20,sj,10
2009,21,sj,11
2009,22,sj,13
2009,23,sj,13
2009,24,sj,14
2009,25,sj,18
2009,26,sj,21
2009,27,sj,21
2009,28,sj,25
2009,29,sj,25
2009,30,sj,33
2009,31,sj,36
2009,32,sj,48
2009,33,sj,48
2009,34,sj,48
2009,35,sj,55
2009,36,sj,55
2009,37,sj,55
2009,38,sj,55
2009,39,sj,68
2009,40,sj,68
2009,41,sj,68
2009,42,sj,68
2009,43,sj,68
2009,44,sj,68
2009,45,sj,68
2009,46,sj,56
2009,47,sj,55
2009,48,sj,56
2009,49,sj,48
2009,50,sj,40
2009,51,sj,34
2009,52,sj,37
2010,53,sj,34
2010,1,sj,30
2010,2,sj,31
2010,3,sj,30
2010,4,sj,26
2010,5,sj,26
2010,6,sj,22
2010,7,sj,19
2010,8,sj,19
2010,9,sj,18
2010,10,sj,17
2010,11,sj,14
2010,12,sj,13
2010,13,sj,13
2010,14,sj,8
2010,15,sj,10
2010,16,sj,10
2010,17,sj,10
2010,18,sj,10
2010,19,sj,10
2010,20,sj,10
2010,21,sj,10
2010,22,sj,14
2010,23,sj,14
2010,24,sj,14
2010,25,sj,16
2010,26,sj,21
2010,27,sj,21
2010,28,sj,25
2010,29,sj,25
2010,30,sj,34
2010,31,sj,36
2010,32,sj,48
2010,33,sj,48
2010,34,sj,48
2010,35,sj,56
2010,36,sj,55
2010,37,sj,55
2010,38,sj,55
2010,39,sj,68
2010,40,sj,68
2010,41,sj,68
2010,42,sj,68
2010,43,sj,68
2010,44,sj,68
2010,45,sj,68
2010,46,sj,56
2010,47,sj,56
2010,48,sj,56
2010,49,sj,47
2010,50,sj,38
2010,51,sj,31
2011,52,sj,37
2011,1,sj,31
2011,2,sj,31
2011,3,sj,30
2011,4,sj,26
2011,5,sj,26
2011,6,sj,22
2011,7,sj,22
2011,8,sj,20
2011,9,sj,17
2011,10,sj,17
2011,11,sj,13
2011,12,sj,13
2011,13,sj,14
2011,14,sj,10
2011,15,sj,10
2011,16,sj,10
2011,17,sj,8
